Z-Piezo Deflection [nm]	Tip Deflection on Retraction [nm]	Tip Deflection on Approach [nm]
35.54681	18.20574	18.63431
38.08588	18.27431	18.66859
40.62494	18.29145	18.63431
43.16406	18.32574	18.61716
45.703	18.37716	18.65145
48.24207	18.46288	18.65145
50.78113	18.42859	18.63431
53.32019	18.41145	18.66859
55.85925	18.41145	18.63431
58.39832	18.37716	18.61716
60.93738	18.32574	18.60002
63.47644	18.29145	18.58288
66.0155	18.25716	18.56573
68.55457	18.22288	18.54859
71.09363	18.12002	18.53145
73.63269	18.06859	18.49716
76.17175	17.98288	18.46288
78.71082	17.89716	18.46288
81.24988	17.82859	18.41145
83.78894	17.72573	18.37716
86.328	17.60573	18.36002
88.86707	17.53716	18.32574
91.40613	17.43431	18.29145
93.94519	17.24574	18.22288
96.48425	17.05716	18.18859
99.02332	16.8343	18.13716
101.5624	16.68002	18.06859
104.1014	16.66288	18.03431
106.6405	17.82859	17.96573
109.1796	17.82859	17.93145
111.7186	17.81145	17.88002
114.2577	17.72573	17.81145
116.7968	17.69145	17.77716
119.3358	17.64002	17.74288
121.8749	17.74288	17.69145
124.4139	18.06859	17.65716
126.953	18.01716	17.58859
129.4921	17.96573	17.57145
132.0311	17.94859	17.52002
134.5701	17.82859	17.52002
137.1091	17.76002	17.46859
139.6482	17.69145	17.41716
142.1873	17.62288	17.33145
144.7263	17.57145	17.29716
147.2654	17.45145	17.22859
149.8044	17.36573	17.19431
152.3435	17.22859	17.12573
154.8826	17.10859	17.09145
157.4216	16.95431	17.02288
159.9607	16.8343	16.98859
162.4998	16.73145	16.93716
165.0388	16.59431	16.85145
167.5779	16.44002	16.80002
170.1169	16.25145	16.73145
172.656	16.13145	16.68002
175.1951	15.96002	16.61145
177.7341	15.77145	16.57716
180.2732	15.60002	16.50859
182.8123	15.42859	16.45716
185.3513	15.2743	16.37145
187.8904	15.08573	16.30288
190.4294	14.81145	16.20002
192.9685	15.56573	16.14859
195.5076	16.30288	16.08002
198.0466	16.20002	16.01145
200.5857	16.02859	15.94288
203.1248	15.94288	15.85716
205.6638	15.82288	15.78859
208.2029	15.70288	15.68573
210.7419	15.53145	15.60002
213.281	15.41145	15.53145
215.8201	15.29145	15.44573
218.3591	15.17145	15.37716
220.8982	14.98287	15.29145
223.4371	14.86287	15.22287
225.9762	14.65716	15.13716
228.5153	14.4343	15.0343
231.0543	14.17716	14.96573
233.5934	13.9543	14.84573
236.1324	13.74859	14.74287
238.6715	13.50859	14.64002
241.2106	14.26287	14.5543
243.7496	15.2743	14.46859
246.2887	15.13716	14.3143
248.8278	15.05145	14.22859
251.3668	14.93145	14.16002
253.9059	14.82859	14.0743
256.4449	14.70859	14.00573
258.984	14.57145	13.9543
261.5231	14.46859	13.86859
264.0621	14.38287	13.80002
266.6012	14.29716	13.76573
269.1403	14.1943	13.66287
271.6793	14.0743	13.61144
274.2184	13.98859	13.50859
276.7574	13.93716	13.44002
279.2965	13.85144	13.37144
281.8356	13.73144	13.3543
284.3746	13.66287	13.26859
286.9137	13.54287	13.21716
289.4528	13.45716	13.20002
291.9918	13.38859	13.18287
294.5309	13.30287	13.14859
297.0699	13.2343	13.13144
299.609	13.21716	13.04573
302.1481	13.18287	13.04573
304.6871	13.13144	13.02859
307.2262	13.06287	12.97716
309.7653	12.9943	12.96002
312.3042	12.94287	12.89144
314.8433	12.8743	12.89144
317.3823	12.78859	12.8743
